,time_taken,cache
226,00:00:02.81,False
227,00:00:03.28,False
228,00:00:02.31,False
229,00:00:01.43,False
230,00:00:01.10,False
231,00:00:01.98,False
232,00:00:02.45,False
233,00:00:00.59,False
234,00:00:00.30,False
235,00:00:01.52,False
236,00:00:01.06,False
237,00:00:01.51,False
238,00:00:00.98,False
239,00:00:00.15,False
240,00:00:00.42,False
241,00:00:00.63,False
242,00:00:02.13,False
243,00:00:00.57,False
244,00:00:02.09,False
245,00:00:00.94,False
246,00:00:00.68,False
247,00:00:01.74,False
248,00:00:00.89,False
249,00:00:00.75,False
250,00:00:01.79,False
251,00:00:00.92,False
252,00:00:01.86,False
253,00:00:02.09,False
254,00:00:01.54,False
255,00:00:05.06,False
256,00:00:03.44,False
257,00:00:00.59,False
258,00:00:00.54,False
259,00:00:01.81,False
260,00:00:01.94,False
261,00:00:00.95.10:9525839,False
262,00:00:02.35,False
263,00:00:00.88,False
264,00:00:00.97,False
265,00:00:01.64,False
266,00:00:02.56,False
267,00:00:02.15,False
268,00:00:01.54,False
269,00:00:00.93,False
270,00:00:02.02,False
271,00:00:00.00.00:6373,False
272,00:00:02.40,False
273,00:00:01.22,False
274,00:00:01.54,False
275,00:01:40.00.1000:1000025889,False
276,00:00:01.00.10:10027039,False
277,00:00:02.22,False
278,00:00:00.96,False
279,00:00:02.54,False
280,00:00:03.05,False
281,00:00:00.45,False
282,00:00:00.93,False
283,00:00:16.34,False
284,00:00:00.82,False
285,00:00:02.98,False
286,00:00:01.04,False
287,00:00:01.05,False
288,00:00:02.14,False
289,00:00:03.09,False
290,00:00:01.42,False
291,00:00:00.98,False
292,00:00:02.50,False
293,00:00:00.67,False
294,00:00:01.13,False
295,00:00:02.18,False
296,00:00:01.23,False
297,00:00:02.89,False
298,00:00:02.44,False
299,00:00:00.15,False
300,00:00:00.92,False
301,00:00:00.54,False
302,00:00:02.69,False
303,00:00:01.54,False
304,00:00:02.63,False
305,00:00:01.74,False
306,00:00:02.42,False
307,00:00:01.78,False
308,00:00:00.85,False
309,00:00:00.14,False
310,00:00:02.23,False
311,00:00:02.33,False
312,00:00:02.25,False
313,00:00:00.37,False
314,00:00:01.49,False
315,00:00:00.41,False
316,00:01:40.00.1000:1000009802,False
317,00:01:40.00.1000:1000067300,False
318,00:00:03.43,False
319,00:00:01.50,False
320,00:00:01.48,False
321,00:00:03.81,False
322,00:00:01.24,False
323,00:00:02.42,False
324,00:00:02.08,False
325,00:00:00.95,False
326,00:00:02.34,False
327,00:00:00.66,False
328,00:00:00.42,False
329,00:00:01.83,False
330,00:00:01.70,False
331,00:00:01.25,False
332,00:00:01.67,False
333,00:00:00.25,False
334,00:00:01.16,False
335,00:00:01.38,False
336,00:00:00.65,False
337,00:00:00.14,False
338,00:00:01.65,False
339,00:00:00.24,False
340,00:00:01.68,False
341,00:00:00.14,False
342,00:00:01.52,False
343,00:00:02.11,False
344,00:00:00.76,False
345,00:00:00.43,False
346,00:00:00.70,False
347,00:01:40.00.1000:1000026878,False
348,00:00:01.06,False
